time [s]	Vin [V]	Vout [V]
0,000000E+0	-9,062500E-3	1,041875E+0
4,000000E-4	2,500000E-3	1,002188E+0
8,000000E-4	3,437500E-3	1,023125E+0
1,200000E-3	5,312500E-3	1,000312E+0
1,600000E-3	-1,125000E-2	1,011250E+0
2,000000E-3	-1,656250E-2	1,003437E+0
2,400000E-3	1,125000E-2	1,010938E+0
2,800000E-3	-7,500000E-3	1,003437E+0
3,200000E-3	-2,187500E-2	1,006563E+0
3,600000E-3	6,250000E-4	1,010938E+0
4,000000E-3	2,937500E-2	1,003437E+0
4,400000E-3	-7,812500E-3	1,003125E+0
4,800000E-3	1,250000E-2	1,000938E+0
5,200000E-3	-7,812500E-3	9,946875E-1
5,600000E-3	-6,250000E-4	1,003125E+0
6,000000E-3	1,562500E-2	1,001250E+0
6,400000E-3	-1,718750E-2	9,931250E-1
6,800000E-3	-8,437500E-3	9,728125E-1
7,200000E-3	-4,375000E-3	9,968750E-1
7,600000E-3	1,125000E-2	9,928125E-1
8,000000E-3	1,562500E-3	9,834375E-1
8,400000E-3	1,562500E-2	1,004375E+0
8,800000E-3	-6,250000E-4	1,021875E+0
9,200000E-3	1,218750E-2	9,909375E-1
9,600000E-3	-8,750000E-3	1,003125E+0
1,000000E-2	1,218750E-2	9,981250E-1
1,040000E-2	-2,031250E-2	9,825000E-1
1,080000E-2	9,375000E-3	1,022500E+0
1,120000E-2	-7,500000E-3	1,000000E+0
1,160000E-2	-7,812500E-3	9,903125E-1
1,200000E-2	7,500000E-3	9,996875E-1
1,240000E-2	5,312500E-3	1,017500E+0
1,280000E-2	-6,250000E-4	1,020312E+0
1,320000E-2	-1,562500E-2	1,013437E+0
1,360000E-2	2,593750E-2	1,004375E+0
1,400000E-2	-1,906250E-2	1,000000E+0
1,440000E-2	-1,875000E-3	9,875000E-1
1,480000E-2	9,375000E-3	1,007500E+0
1,520000E-2	-2,750000E-2	9,712500E-1
1,560000E-2	2,031250E-2	9,818750E-1
1,600000E-2	4,062500E-3	9,937500E-1
1,640000E-2	1,250000E-2	1,000312E+0
1,680000E-2	-2,812500E-3	9,534375E-1
1,720000E-2	-1,000000E-2	9,809375E-1
1,760000E-2	-1,593750E-2	1,010000E+0
1,800000E-2	4,687500E-3	9,734375E-1
1,840000E-2	-2,437500E-2	9,950000E-1
1,880000E-2	5,312500E-3	9,775000E-1
1,920000E-2	3,750000E-3	1,024375E+0
1,960000E-2	-1,406250E-2	1,003125E+0
2,000000E-2	-9,375000E-4	1,027500E+0
2,040000E-2	3,750000E-3	1,000000E+0
2,080000E-2	-1,562500E-2	1,010000E+0
2,120000E-2	-8,125000E-3	1,005937E+0
2,160000E-2	6,250000E-4	1,011250E+0
2,200000E-2	-1,000000E-2	9,925000E-1
2,240000E-2	-2,406250E-2	1,002500E+0
2,280000E-2	-1,250000E-3	9,825000E-1
2,320000E-2	-8,125000E-3	9,856250E-1
2,360000E-2	1,125000E-2	9,859375E-1
2,400000E-2	5,937500E-3	1,000938E+0
2,440000E-2	1,687500E-2	9,946875E-1
2,480000E-2	8,750000E-3	9,631250E-1
2,520000E-2	-6,250000E-4	1,028437E+0
2,560000E-2	4,375000E-3	9,750000E-1
2,600000E-2	6,250000E-4	1,003125E+0
2,640000E-2	8,750000E-3	9,768750E-1
2,680000E-2	1,218750E-2	1,007500E+0
2,720000E-2	3,750000E-3	9,443750E-1
2,760000E-2	-7,500000E-3	1,001562E+0
2,800000E-2	-3,750000E-3	1,007500E+0
2,840000E-2	-1,656250E-2	1,006563E+0
2,880000E-2	-8,437500E-3	9,937500E-1
2,920000E-2	-9,375000E-4	9,878125E-1
2,960000E-2	5,000000E-3	9,759375E-1
3,000000E-2	-2,843750E-2	9,728125E-1
3,040000E-2	-5,937500E-3	9,831250E-1
3,080000E-2	3,437500E-3	9,940625E-1
3,120000E-2	2,843750E-2	1,008438E+0
3,160000E-2	1,250000E-2	9,925000E-1
3,200000E-2	7,187500E-3	1,020312E+0
3,240000E-2	-8,125000E-3	1,005000E+0
3,280000E-2	-8,125000E-3	9,925000E-1
3,320000E-2	-4,375000E-3	9,725000E-1
3,360000E-2	2,468750E-2	9,912500E-1
3,400000E-2	-8,437500E-3	1,007812E+0
3,440000E-2	8,437500E-3	9,815625E-1
3,480000E-2	4,687500E-3	1,003125E+0
3,520000E-2	3,125000E-4	9,806250E-1
3,560000E-2	4,375000E-3	1,003125E+0
3,600000E-2	-1,437500E-2	1,006250E+0
3,640000E-2	-5,937500E-3	9,831250E-1
3,680000E-2	7,500000E-3	9,953125E-1
3,720000E-2	1,375000E-2	1,011250E+0
3,760000E-2	2,406250E-2	9,884375E-1
3,800000E-2	2,500000E-3	9,900000E-1
3,840000E-2	1,218750E-2	9,968750E-1
3,880000E-2	2,718750E-2	9,750000E-1
3,920000E-2	-4,375000E-3	1,009375E+0
3,960000E-2	-8,750000E-3	9,531250E-1
4,000000E-2	4,062500E-3	9,900000E-1
4,040000E-2	4,375000E-3	9,734375E-1
4,080000E-2	1,562500E-3	9,990625E-1
4,120000E-2	2,656250E-2	1,005313E+0
4,160000E-2	-5,937500E-3	1,007500E+0
4,200000E-2	-2,968750E-2	9,831250E-1
4,240000E-2	6,250000E-4	9,903125E-1
4,280000E-2	-6,250000E-3	9,531250E-1
4,320000E-2	-2,062500E-2	1,021875E+0
4,360000E-2	-5,937500E-3	9,946875E-1
4,400000E-2	-7,812500E-3	1,011875E+0
4,440000E-2	8,437500E-3	1,011562E+0
4,480000E-2	-1,250000E-3	1,015313E+0
4,520000E-2	-2,843750E-2	9,993750E-1
4,560000E-2	2,718750E-2	1,003125E+0
4,600000E-2	-6,250000E-4	1,011875E+0
4,640000E-2	1,718750E-2	9,900000E-1
4,680000E-2	1,000000E-2	9,990625E-1
4,720000E-2	-2,593750E-2	1,012500E+0
4,760000E-2	-2,437500E-2	9,900000E-1
4,800000E-2	-5,937500E-3	1,004375E+0
4,840000E-2	3,125000E-4	9,959375E-1
4,880000E-2	2,187500E-3	9,975000E-1
4,920000E-2	2,437500E-2	1,007500E+0
4,960000E-2	-1,250000E-2	9,918750E-1
5,000000E-2	9,815625E-1	9,725000E-1
5,040000E-2	1,018125E+0	4,834375E-1
5,080000E-2	9,865625E-1	2,453125E-1
5,120000E-2	9,800000E-1	1,590625E-1
5,160000E-2	1,011562E+0	1,337500E-1
5,200000E-2	9,703125E-1	1,021875E-1
5,240000E-2	1,003750E+0	5,750000E-2
5,280000E-2	1,012812E+0	8,250000E-2
5,320000E-2	9,903125E-1	7,531250E-2
5,360000E-2	1,011562E+0	8,375000E-2
5,400000E-2	9,871875E-1	3,718750E-2
5,440000E-2	1,005625E+0	9,500000E-2
5,480000E-2	9,937500E-1	6,375000E-2
5,520000E-2	1,029062E+0	3,500000E-2
5,560000E-2	1,022188E+0	8,437500E-2
5,600000E-2	1,029688E+0	5,125000E-2
5,640000E-2	1,000938E+0	4,531250E-2
5,680000E-2	9,934375E-1	4,218750E-2
5,720000E-2	9,987500E-1	7,656250E-2
5,760000E-2	9,981250E-1	6,750000E-2
5,800000E-2	9,800000E-1	5,593750E-2
5,840000E-2	9,728125E-1	6,750000E-2
5,880000E-2	1,013437E+0	5,187500E-2
5,920000E-2	1,013437E+0	6,343750E-2
5,960000E-2	1,023437E+0	1,043750E-1
6,000000E-2	9,993750E-1	1,090625E-1
6,040000E-2	9,987500E-1	8,437500E-2
6,080000E-2	1,009062E+0	9,750000E-2
6,120000E-2	1,027813E+0	7,500000E-2
6,160000E-2	1,028437E+0	9,656250E-2
6,200000E-2	1,023750E+0	7,750000E-2
6,240000E-2	9,993750E-1	5,500000E-2
6,280000E-2	1,000000E+0	5,000000E-2
6,320000E-2	1,002500E+0	6,250000E-2
6,360000E-2	1,005625E+0	4,000000E-2
6,400000E-2	9,965625E-1	2,843750E-2
6,440000E-2	1,003437E+0	4,593750E-2
6,480000E-2	9,753125E-1	5,000000E-2
6,520000E-2	9,806250E-1	8,343750E-2
6,560000E-2	1,008438E+0	3,281250E-2
6,600000E-2	9,978125E-1	4,750000E-2
6,640000E-2	1,006250E+0	6,437500E-2
6,680000E-2	1,020000E+0	4,781250E-2
6,720000E-2	1,000000E+0	6,593750E-2
6,760000E-2	1,007187E+0	6,656250E-2
6,800000E-2	1,004687E+0	4,312500E-2
6,840000E-2	9,859375E-1	5,562500E-2
6,880000E-2	1,008438E+0	4,843750E-2
