time [s]	Vin1 [V]	Vin2 [V]	Vout [V]
0,000000E+0	1,062500E-2	5,375000E-2	1,001875E+0
2,000000E-3	4,312500E-2	-9,875000E-2	9,637500E-1
4,000000E-3	-2,562500E-2	4,625000E-2	1,042500E+0
6,000000E-3	1,312500E-2	-6,250000E-3	9,850000E-1
8,000000E-3	-4,375000E-2	-3,125000E-3	9,037500E-1
1,000000E-2	5,000000E-3	-1,125000E-2	9,906250E-1
1,200000E-2	5,000000E-2	4,125000E-2	1,020625E+0
1,400000E-2	-1,375000E-1	6,812500E-2	9,431250E-1
1,600000E-2	-8,375000E-2	4,125000E-2	9,693750E-1
1,800000E-2	-3,812500E-2	9,437500E-2	9,875000E-1
2,000000E-2	-5,062500E-2	-1,350000E-1	9,868750E-1
2,200000E-2	2,750000E-2	-3,437500E-2	9,075000E-1
2,400000E-2	-8,875000E-2	5,437500E-2	8,650000E-1
2,600000E-2	2,375000E-2	5,375000E-2	1,004375E+0
2,800000E-2	9,187500E-2	1,687500E-2	1,044375E+0
3,000000E-2	-5,250000E-2	4,250000E-2	9,900000E-1
3,200000E-2	1,312500E-2	-3,312500E-2	9,906250E-1
3,400000E-2	-7,125000E-2	-3,125000E-2	9,956250E-1
3,600000E-2	-6,000000E-2	4,625000E-2	1,013125E+0
3,800000E-2	-1,625000E-2	8,125000E-3	9,950000E-1
4,000000E-2	5,312500E-2	2,812500E-2	9,618750E-1
4,200000E-2	7,000000E-2	-1,812500E-2	9,556250E-1
4,400000E-2	-9,250000E-2	7,500000E-3	9,468750E-1
4,600000E-2	5,312500E-2	1,250000E-2	1,001250E+0
4,800000E-2	1,625000E-2	-8,000000E-2	1,016875E+0
5,000000E-2	-3,812500E-2	5,812500E-2	1,042500E+0
5,200000E-2	2,125000E-2	1,250000E-3	9,775000E-1
5,400000E-2	6,500000E-2	1,687500E-2	9,406250E-1
5,600000E-2	-5,812500E-2	1,437500E-2	1,011875E+0
5,800000E-2	-2,812500E-2	-1,875000E-2	1,051875E+0
6,000000E-2	6,875000E-3	9,687500E-2	1,005000E+0
6,200000E-2	-5,062500E-2	-5,437500E-2	9,943750E-1
6,400000E-2	2,000000E-2	-5,000000E-3	9,562500E-1
6,600000E-2	-3,687500E-2	1,250000E-3	1,023125E+0
6,800000E-2	1,562500E-2	-4,437500E-2	9,793750E-1
7,000000E-2	-3,125000E-3	1,562500E-2	9,518750E-1
7,200000E-2	1,062500E-2	-1,875000E-3	1,016875E+0
7,400000E-2	2,250000E-2	-2,437500E-2	9,893750E-1
7,600000E-2	1,062500E-2	1,875000E-3	9,750000E-1
7,800000E-2	-5,875000E-2	1,812500E-2	1,018125E+0
8,000000E-2	2,062500E-2	3,375000E-2	1,018125E+0
8,200000E-2	1,875000E-3	-1,187500E-2	9,831250E-1
8,400000E-2	1,000000E-2	-1,875000E-3	9,431250E-1
8,600000E-2	-4,312500E-2	4,625000E-2	9,375000E-1
8,800000E-2	1,000000E-2	4,375000E-3	1,006250E+0
9,000000E-2	4,875000E-2	-5,312500E-2	9,006250E-1
9,200000E-2	1,437500E-2	3,500000E-2	9,493750E-1
9,400000E-2	4,500000E-2	-6,250000E-4	1,009375E+0
9,600000E-2	-6,750000E-2	6,937500E-2	9,450000E-1
9,800000E-2	-2,375000E-2	5,687500E-2	1,016875E+0
1,000000E-1	1,812500E-2	3,625000E-2	9,762500E-1
1,020000E-1	-7,437500E-2	-4,250000E-2	1,084375E+0
1,040000E-1	-4,312500E-2	3,812500E-2	1,008750E+0
1,060000E-1	-2,000000E-2	9,437500E-2	9,431250E-1
1,080000E-1	1,000000E-2	9,812500E-2	9,418750E-1
1,100000E-1	-2,125000E-2	9,437500E-2	9,556250E-1
1,120000E-1	1,562500E-2	-9,437500E-2	1,025625E+0
1,140000E-1	-3,250000E-2	-6,937500E-2	1,004375E+0
1,160000E-1	-6,250000E-4	-7,812500E-2	1,032500E+0
1,180000E-1	1,812500E-2	3,375000E-2	1,053125E+0
1,200000E-1	-9,875000E-2	2,625000E-2	1,026875E+0
1,220000E-1	-1,937500E-2	7,500000E-3	9,006250E-1
1,240000E-1	6,437500E-2	1,687500E-2	1,021875E+0
1,260000E-1	-2,187500E-2	1,000000E-2	1,029375E+0
1,280000E-1	2,125000E-2	-1,875000E-3	1,021250E+0
1,300000E-1	-5,625000E-2	3,125000E-3	9,875000E-1
1,320000E-1	-5,812500E-2	-2,250000E-2	9,212500E-1
1,340000E-1	-3,562500E-2	-2,187500E-2	9,893750E-1
1,360000E-1	-5,750000E-2	-5,500000E-2	9,650000E-1
1,380000E-1	-1,562500E-2	3,500000E-2	9,650000E-1
1,400000E-1	1,250000E-3	6,562500E-2	1,001875E+0
1,420000E-1	4,062500E-2	1,368750E-1	9,806250E-1
1,440000E-1	-1,250000E-2	1,375000E-2	1,005625E+0
1,460000E-1	9,812500E-2	-1,437500E-2	9,793750E-1
1,480000E-1	1,312500E-2	-1,750000E-2	9,500000E-1
1,500000E-1	2,500000E-3	2,750000E-2	9,143750E-1
1,520000E-1	7,500000E-3	-1,500000E-2	1,058125E+0
1,540000E-1	1,312500E-2	4,312500E-2	9,975000E-1
1,560000E-1	7,750000E-2	-6,250000E-3	9,425000E-1
1,580000E-1	4,375000E-3	-1,562500E-2	9,037500E-1
1,600000E-1	-4,000000E-2	-4,000000E-2	9,450000E-1
1,620000E-1	-6,250000E-4	7,500000E-2	1,051250E+0
1,640000E-1	5,187500E-2	3,750000E-2	9,437500E-1
1,660000E-1	-5,000000E-2	5,312500E-2	1,009375E+0
1,680000E-1	-2,000000E-2	5,000000E-2	9,981250E-1
1,700000E-1	-4,187500E-2	5,937500E-2	9,406250E-1
1,720000E-1	-1,062500E-2	-2,937500E-2	1,001250E+0
1,740000E-1	4,500000E-2	5,437500E-2	9,425000E-1
1,760000E-1	1,875000E-3	-4,375000E-3	1,001875E+0
1,780000E-1	-1,687500E-2	3,812500E-2	9,493750E-1
1,800000E-1	-5,062500E-2	-3,000000E-2	9,012500E-1
1,820000E-1	-3,500000E-2	4,437500E-2	9,643750E-1
1,840000E-1	1,312500E-2	-1,387500E-1	1,030625E+0
1,860000E-1	4,687500E-2	8,375000E-2	1,012500E+0
1,880000E-1	1,562500E-2	3,812500E-2	1,048750E+0
1,900000E-1	5,062500E-2	-6,250000E-3	9,918750E-1
1,920000E-1	4,875000E-2	1,312500E-2	1,052500E+0
1,940000E-1	-9,125000E-2	1,687500E-2	9,218750E-1
1,960000E-1	-2,687500E-2	5,812500E-2	9,718750E-1
1,980000E-1	-5,562500E-2	-2,500000E-3	9,943750E-1
2,000000E-1	-5,187500E-2	1,075000E-1	9,418750E-1
2,020000E-1	-2,500000E-3	1,562500E-2	9,818750E-1
2,040000E-1	6,875000E-3	1,062500E-2	9,125000E-1
2,060000E-1	-4,062500E-2	6,250000E-4	9,875000E-1
2,080000E-1	-3,750000E-3	-2,500000E-3	9,875000E-1
2,100000E-1	-2,687500E-2	4,687500E-2	9,950000E-1
2,120000E-1	2,937500E-2	-4,812500E-2	9,856250E-1
2,140000E-1	-5,125000E-2	5,000000E-2	1,001875E+0
2,160000E-1	4,500000E-2	1,375000E-2	9,925000E-1
2,180000E-1	4,250000E-2	2,500000E-3	1,023125E+0
2,200000E-1	1,312500E-2	2,937500E-2	9,050000E-1
2,220000E-1	-6,250000E-4	0,000000E+0	9,056250E-1
2,240000E-1	5,562500E-2	0,000000E+0	9,368750E-1
2,260000E-1	4,812500E-2	1,562500E-2	1,016875E+0
2,280000E-1	-1,000000E-2	3,750000E-2	9,731250E-1
2,300000E-1	5,562500E-2	6,500000E-2	9,325000E-1
2,320000E-1	5,000000E-2	-2,312500E-2	1,035625E+0
2,340000E-1	1,812500E-2	-4,187500E-2	9,037500E-1
2,360000E-1	-1,250000E-2	-1,750000E-2	1,011875E+0
2,380000E-1	-6,437500E-2	2,250000E-2	9,412500E-1
2,400000E-1	2,187500E-2	-1,625000E-2	9,293750E-1
2,420000E-1	-2,937500E-2	3,125000E-3	9,293750E-1
2,440000E-1	1,062500E-2	-4,312500E-2	9,012500E-1
2,460000E-1	4,437500E-2	-3,812500E-2	1,034375E+0
2,480000E-1	-1,562500E-2	8,250000E-2	1,029375E+0
2,500000E-1	4,312500E-2	9,875000E-2	9,962500E-1
2,520000E-1	1,250000E-3	1,687500E-2	1,021875E+0
2,540000E-1	9,437500E-2	4,125000E-2	9,837500E-1
2,560000E-1	-1,875000E-2	-6,250000E-4	9,743750E-1
2,580000E-1	-4,187500E-2	-6,250000E-4	8,706250E-1
2,600000E-1	4,875000E-2	1,250000E-2	1,004375E+0
2,620000E-1	8,750000E-3	-2,750000E-2	1,029375E+0
2,640000E-1	2,125000E-2	3,937500E-2	1,076250E+0
2,660000E-1	-3,812500E-2	2,500000E-2	9,006250E-1
