time [s]	Vin1 [V]	Vin2 [V]	Vout [V]
0,000000E+0	-7,812500E-2	1,054375E+0	1,008750E+0
2,000000E-3	-8,125000E-3	1,096875E+0	9,662500E-1
4,000000E-3	1,062500E-2	9,787500E-1	9,525000E-1
6,000000E-3	-1,250000E-3	1,001875E+0	9,781250E-1
8,000000E-3	-9,812500E-2	1,023125E+0	9,712500E-1
1,000000E-2	2,875000E-2	9,656250E-1	9,293750E-1
1,200000E-2	6,062500E-2	1,017500E+0	9,531250E-1
1,400000E-2	-2,937500E-2	9,700000E-1	9,718750E-1
1,600000E-2	-6,750000E-2	1,001875E+0	9,668750E-1
1,800000E-2	-4,625000E-2	9,843750E-1	1,013125E+0
2,000000E-2	5,312500E-2	1,054375E+0	9,437500E-1
2,200000E-2	5,875000E-2	1,012500E+0	9,925000E-1
2,400000E-2	-8,375000E-2	1,010625E+0	9,306250E-1
2,600000E-2	-1,125000E-2	1,060625E+0	1,069375E+0
2,800000E-2	-6,875000E-3	9,812500E-1	1,044375E+0
3,000000E-2	-9,000000E-2	1,051875E+0	9,231250E-1
3,200000E-2	5,000000E-2	1,010625E+0	1,003125E+0
3,400000E-2	-2,625000E-2	1,052500E+0	9,143750E-1
3,600000E-2	-2,937500E-2	1,043125E+0	9,231250E-1
3,800000E-2	1,250000E-2	1,039375E+0	9,418750E-1
4,000000E-2	-8,625000E-2	1,027500E+0	9,931250E-1
4,200000E-2	-2,625000E-2	1,053125E+0	9,531250E-1
4,400000E-2	-1,000000E-2	9,618750E-1	1,031250E+0
4,600000E-2	-6,750000E-2	1,032500E+0	1,056875E+0
4,800000E-2	-7,250000E-2	9,656250E-1	9,475000E-1
5,000000E-2	3,125000E-3	9,537500E-1	9,781250E-1
5,200000E-2	-1,750000E-2	-1,187500E-2	9,812500E-1
5,400000E-2	1,000000E-2	4,062500E-2	1,014375E+0
5,600000E-2	-5,937500E-2	7,375000E-2	9,712500E-1
5,800000E-2	4,625000E-2	4,187500E-2	9,825000E-1
6,000000E-2	8,125000E-3	4,250000E-2	9,956250E-1
6,200000E-2	-3,750000E-3	-5,687500E-2	9,600000E-1
6,400000E-2	4,812500E-2	8,000000E-2	1,018125E+0
6,600000E-2	-1,437500E-2	3,437500E-2	8,862500E-1
6,800000E-2	5,312500E-2	-4,687500E-2	9,718750E-1
7,000000E-2	3,625000E-2	5,062500E-2	1,012500E+0
